client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20250917-080000-001-000-23,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-022,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-260,MARKET,SELL,1.00000000,GTC,True,False,1.00000000,TAKER,116900.09999999999,0.0,['70.14006000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,383b5e5f-4062-46fc-85d0-8fa082dda783,2025-09-17 08:00:00+00:00,2025-09-17 08:00:00+00:00
O-20250917-090000-001-000-24,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-023,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-262,MARKET,BUY,1.00000000,GTC,False,False,1.00000000,TAKER,116605.1,0.0,['69.96306000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,9c56de00-c0f4-4a47-bce7-8dd355f64a91,2025-09-17 09:00:00+00:00,2025-09-17 09:00:00+00:00
O-20250917-120000-001-000-25,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-024,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-266,MARKET,SELL,1.00000000,GTC,True,False,1.00000000,TAKER,116281.6,0.0,['69.76896000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,84e2e005-6822-413e-9de7-3acdbc8c2baf,2025-09-17 12:00:00+00:00,2025-09-17 12:00:00+00:00
O-20250917-130000-001-000-26,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-025,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-268,MARKET,BUY,1.00000000,GTC,False,False,1.00000000,TAKER,116158.8,0.0,['69.69528000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,0fe6ecc9-6ad4-4870-8f81-18e81f84cf0b,2025-09-17 13:00:00+00:00,2025-09-17 13:00:00+00:00
O-20250917-160000-001-000-27,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-026,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-272,MARKET,SELL,1.00000000,GTC,True,False,1.00000000,TAKER,115673.79999999999,0.0,['69.40428000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,fef2ebcd-d9cb-41d3-a17d-faec5f0c278f,2025-09-17 16:00:00+00:00,2025-09-17 16:00:00+00:00
O-20250919-230000-001-000-29,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-027,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-328,MARKET,BUY,1.00000000,GTC,False,False,1.00000000,TAKER,115677.2,0.0,['69.40632000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,be915b40-fbd6-4f6d-9dab-f9fee9e781e2,2025-09-19 23:00:00+00:00,2025-09-19 23:00:00+00:00
O-20250920-190000-001-000-30,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-028,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-350,MARKET,SELL,1.00000000,GTC,True,False,1.00000000,TAKER,115777.59865446536,0.0,['69.46655906 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,4e172097-e37a-4a32-8776-57422486a21c,2025-09-20 19:00:00+00:00,2025-09-20 19:00:00+00:00
O-20250920-230000-001-000-31,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-029,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-355,MARKET,BUY,1.00000000,GTC,False,False,1.00000000,TAKER,115739.1,0.0,['69.44346000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,39854e23-8e30-4253-a916-9cb80942ce12,2025-09-20 23:00:00+00:00,2025-09-20 23:00:00+00:00
O-20250921-020000-001-000-32,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-030,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-359,MARKET,SELL,1.00000000,GTC,True,False,1.00000000,TAKER,115720.0,0.0,['69.43200000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,50801b09-0efb-4d00-9fbc-f11674883449,2025-09-21 02:00:00+00:00,2025-09-21 02:00:00+00:00
O-20250921-030000-001-000-33,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-031,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-361,MARKET,BUY,1.00000000,GTC,False,False,1.00000000,TAKER,115712.6,0.0,['69.42756000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,1054dd54-7e0b-450f-a503-170f2af62a9d,2025-09-21 03:00:00+00:00,2025-09-21 03:00:00+00:00
