position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BTC/USD.KRAKEN-AIAdaptiveStrategy-000-04b92c07-c865-4300-8052-4833361e496e,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250921-070000-001-000-35,O-20250921-100000-001-000-36,BUY,FLAT,0.00000000,1.00000000,1758438000000000000,2025-09-21 07:00:00+00:00,1758448800000000000,2025-09-21 10:00:00+00:00,10800000000000,115849.90000000001,115589.9977068989,['138.86393862 USDT'],-0.00224,-398.76623172 USDT,True
BTC/USD.KRAKEN-AIAdaptiveStrategy-000-2b43a429-0d8a-43a6-8298-3d47de59f1a0,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250921-110000-001-000-37,O-20250921-140000-001-000-38,BUY,FLAT,0.00000000,1.00000000,1758452400000000000,2025-09-21 11:00:00+00:00,1758463200000000000,2025-09-21 14:00:00+00:00,10800000000000,115662.9,115615.1,['138.76680000 USDT'],-0.00041,-186.56680000 USDT,True
BTC/USD.KRAKEN-AIAdaptiveStrategy-000-7a3ee984-fd1e-4ea1-a0be-de4fcd63e9c1,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250921-150000-001-000-39,O-20250921-180000-001-000-40,BUY,FLAT,0.00000000,1.00000000,1758466800000000000,2025-09-21 15:00:00+00:00,1758477600000000000,2025-09-21 18:00:00+00:00,10800000000000,115600.0,115593.09928341111,['138.71585957 USDT'],-6e-05,-145.61657616 USDT,True
BTC/USD.KRAKEN-AIAdaptiveStrategy-000-146efbd7-967b-4f0e-af39-42e8b023f871,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250921-190000-001-000-41,O-20250921-220000-001-000-42,BUY,FLAT,0.00000000,1.00000000,1758481200000000000,2025-09-21 19:00:00+00:00,1758492000000000000,2025-09-21 22:00:00+00:00,10800000000000,115518.20000000001,115541.0,['138.63552000 USDT'],0.0002,-115.83552000 USDT,True
BTC/USD.KRAKEN-AIAdaptiveStrategy-000-89d79ee9-7c12-4219-8761-c72361d1bb4e,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250921-230000-001-000-43,O-20250922-000000-001-000-44,BUY,FLAT,0.00000000,1.00000000,1758495600000000000,2025-09-21 23:00:00+00:00,1758499200000000000,2025-09-22 00:00:00+00:00,3600000000000,115298.9,114543.7,['137.90556000 USDT'],-0.00655,-893.10556000 USDT,True
BTC/USD.KRAKEN-AIAdaptiveStrategy-000-176a0a2f-e4d5-47a6-a26d-1e1d991a51a7,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250922-010000-001-000-45,O-20250922-200000-001-000-46,BUY,FLAT,0.00000000,1.00000000,1758502800000000000,2025-09-22 01:00:00+00:00,1758571200000000000,2025-09-22 20:00:00+00:00,68400000000000,114332.8,112836.6,['136.30164000 USDT'],-0.01309,-1632.50164000 USDT,True
BTC/USD.KRAKEN-AIAdaptiveStrategy-000-7ba1fd2d-3d0d-4282-85b4-48af4e240f69,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250922-210000-001-000-47,O-20250923-000000-001-000-48,BUY,FLAT,0.00000000,0.78889735,1758574800000000000,2025-09-22 21:00:00+00:00,1758585600000000000,2025-09-23 00:00:00+00:00,10800000000000,113000.0,112510.3,['106.74268684 USDT'],-0.00433,-493.06571913 USDT,True
BTC/USD.KRAKEN-AIAdaptiveStrategy-000-0f05696d-abb4-4b36-ab65-a4e4fbab6cb9,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250924-030000-001-000-50,O-20250928-070000-001-000-51,BUY,FLAT,0.00000000,0.76462529,1758682800000000000,2025-09-24 03:00:00+00:00,1759042800000000000,2025-09-28 07:00:00+00:00,360000000000000,111787.5,109500.09999999999,['101.52125719 USDT'],-0.02046,-1850.52514554 USDT,True
BTC/USD.KRAKEN-AIAdaptiveStrategy-000-817ed688-05d5-481a-8b91-be5d97570be3,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20251002-110000-001-000-53,O-20251006-150000-001-000-54,BUY,FLAT,0.00000000,0.89237257,1759402800000000000,2025-10-02 11:00:00+00:00,1759762800000000000,2025-10-06 15:00:00+00:00,360000000000000,118800.1,125100.0,['130.58985543 USDT'],0.05303,5491.26809831 USDT,True
BTC/USD.KRAKEN-AIAdaptiveStrategy-000,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20251006-160000-001-000-55,O-20251006-190000-001-000-56,BUY,FLAT,0.00000000,0.77365525,1759766400000000000,2025-10-06 16:00:00+00:00,1759777200000000000,2025-10-06 19:00:00+00:00,10800000000000,125499.9,125449.99999999999,['116.48922458 USDT'],-0.0004,-155.09462156 USDT,False
